"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","debe navegar a login y mostrar campos/boton","firefox","2026-07-02","failed","2026-07-02","Login - E2E @smoke @login","","",""
"","7","debe tomar snapshot visual del homepage","firefox","2026-07-02","failed","2026-07-02","Home - Visual @visual","","",""
"","5320","debe tomar snapshot visual del homepage","chromium","2026-07-02","passed","2026-07-02","Home - Visual @visual","","",""
"","7","debe cargar homepage, mostrar logo/menu y navegar correctamente","webkit","2026-07-02","failed","2026-07-02","Home - E2E @smoke @home","","",""
"","4460","debe mostrar lista de productos y permitir busqueda","chromium","2026-07-02","passed","2026-07-02","Products - E2E @regression @products","","",""
"","7703","debe navegar a login y mostrar campos/boton","chromium","2026-07-02","passed","2026-07-02","Login - E2E @smoke @login","","",""
"","7","debe mostrar lista de productos y permitir busqueda","firefox","2026-07-02","failed","2026-07-02","Products - E2E @regression @products","","",""
"","6","debe mostrar lista de productos y permitir busqueda","webkit","2026-07-02","failed","2026-07-02","Products - E2E @regression @products","","",""
"","5","debe tomar snapshot visual del homepage","webkit","2026-07-02","failed","2026-07-02","Home - Visual @visual","","",""
"","7114","debe cargar homepage, mostrar logo/menu y navegar correctamente","chromium","2026-07-02","passed","2026-07-02","Home - E2E @smoke @home","","",""
"","8","debe navegar a login y mostrar campos/boton","webkit","2026-07-02","failed","2026-07-02","Login - E2E @smoke @login","","",""
"","6","debe cargar homepage, mostrar logo/menu y navegar correctamente","firefox","2026-07-02","failed","2026-07-02","Home - E2E @smoke @home","","",""
